"","postId","time_diff_experiment","condition","vis","bonus","age","gender","education","p","prob1","prob2","x1","x2","lotterychoice","ev","ce","rrp","error","lnerror","exact","ev_perceived","rrp_perceived"
"144","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.25,0.5,0.5,40,10,"0b",17.5,39.25,-1.24285714285714,2,0.693147180559945,0,25,-0.57
"145","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.1,0.5,0.5,50,0,"8b",5,28.75,-4.75,5,1.6094379124341,0,25,-0.15
"146","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.5,0.5,0.5,20,10,"0b",15,19.75,-0.316666666666667,1,0,1,15,-0.316666666666667
"147","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.05,0.1,0.9,20,0,"5b",1,14,-13,2,0.693147180559945,0,2,-6
"148","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.9,0.01,0.99,10,0,"0b",9,9.75,-0.0833333333333333,0.0111111111111111,-4.49980967033027,0,0.1,-96.5
"149","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.05,0.5,0.5,40,10,"0b",11.5,39.25,-2.41304347826087,10,2.30258509299405,0,25,-0.57
"150","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.1,0.1,0.9,10,0,"0b",1,9.75,-8.75,1,0,1,1,-8.75
"251","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.5,0.5,0.5,50,20,"12b",35,31.25,0.107142857142857,1,0,1,35,0.107142857142857
"252","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.1,0.1,0.9,50,0,"19b",5,2.5,0.5,1,0,1,5,0.5
"253","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.75,0.75,0.25,20,0,"0a",15,20,-0.333333333333333,1,0,1,15,-0.333333333333333
"254","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.9,0.9,0.1,50,0,"1b",45,46.25,-0.0277777777777778,1,0,1,45,-0.0277777777777778
"255","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.75,0.75,0.25,50,20,"3b",42.5,44.75,-0.0529411764705882,1,0,1,42.5,-0.0529411764705882
"256","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.75,0.75,0.25,40,10,"3b",32.5,34.75,-0.0692307692307692,1,0,1,32.5,-0.0692307692307692
"257","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.5,0.5,0.5,40,10,"3b",25,34.75,-0.39,1,0,1,25,-0.39
"258","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.9,0.9,0.1,10,0,"0b",9,9.75,-0.0833333333333333,1,0,1,9,-0.0833333333333333
"259","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.05,0.05,0.95,20,0,"18a",1,2,-1,1,0,1,1,-1
"260","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.95,0.95,0.05,40,10,"0b",38.5,39.25,-0.0194805194805195,1,0,1,38.5,-0.0194805194805195
"261","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.5,0.5,0.5,10,0,"14b",5,2.75,0.45,1,0,1,5,0.45
"262","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.1,0.1,0.9,20,10,"19b",11,10.5,0.0454545454545455,1,0,1,11,0.0454545454545455
"263","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.25,0.25,0.75,50,20,"18b",27.5,22.25,0.190909090909091,1,0,1,27.5,0.190909090909091
"264","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.5,0.5,0.5,20,10,"9b",15,15.25,-0.0166666666666667,1,0,1,15,-0.0166666666666667
"265","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.9,0.9,0.1,20,10,"0b",19,19.75,-0.0394736842105263,1,0,1,19,-0.0394736842105263
"266","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.05,0.05,0.95,150,50,"19b",55,55,0,1,0,1,55,0
"267","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.05,0.05,0.95,40,10,"19b",11.5,11.5,0,1,0,1,11.5,0
"268","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.95,0.95,0.05,50,20,"0b",48.5,49.25,-0.0154639175257732,1,0,1,48.5,-0.0154639175257732
"269","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.05,0.05,0.95,50,20,"19b",21.5,21.5,0,1,0,1,21.5,0
"270","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.5,0.5,0.5,50,0,"12b",25,18.75,0.25,1,0,1,25,0.25
"271","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.25,0.25,0.75,40,10,"19b",17.5,11.5,0.342857142857143,1,0,1,17.5,0.342857142857143
"272","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.1,0.1,0.9,10,0,"18b",1,0.75,0.25,1,0,1,1,0.25
"273","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.25,0.25,0.75,20,0,"17b",5,2,0.6,1,0,1,5,0.6
"274","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.95,0.95,0.05,20,0,"1b",19,18,0.0526315789473684,1,0,1,19,0.0526315789473684
"275","jtk7iuvl",411906,"none",0,6.835,25,"Female","College",0.5,0.5,0.5,150,0,"10b",75,71.25,0.05,1,0,1,75,0.05
"301","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.1,0.05,0.95,20,10,"19a",11,10.75,0.0227272727272727,0.5,-0.693147180559945,0,10.5,-0.0238095238095238
"302","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.95,0.97,0.03,40,10,"2b",38.5,36.25,0.0584415584415584,1.02105263157895,0.0208340869028421,0,39.1,0.0728900255754474
"303","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.1,0.04,0.96,10,0,"19b",1,0.5,0.5,0.4,-0.916290731874155,0,0.4,-0.25
"304","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.5,0.5,0.5,50,0,"19b",25,2.5,0.9,1,0,1,25,0.9
"305","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.95,0.98,0.02,20,0,"5b",19,14,0.263157894736842,1.03157894736842,0.0310905870700312,0,19.6,0.285714285714286
"306","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.05,0.02,0.98,150,50,"19b",55,55,0,0.4,-0.916290731874155,0,52,-0.0576923076923077
"307","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.5,0.5,0.5,50,20,"17a",35,25.25,0.278571428571429,1,0,1,35,0.278571428571429
"308","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.75,0.85,0.15,20,0,"16b",15,3,0.8,1.13333333333333,0.125163142954006,0,17,0.823529411764706
"309","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.05,0.01,0.99,20,0,"19b",1,1,0,0.2,-1.6094379124341,0,0.2,-4
"310","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.25,0.15,0.85,20,0,"19b",5,1,0.8,0.6,-0.510825623765991,0,3,0.666666666666667
"311","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.75,0.87,0.13,50,20,"17a",42.5,25.25,0.405882352941176,1.16,0.148420005118273,0,46.1,0.452277657266811
"312","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.5,0.5,0.5,20,10,"15a",15,12.75,0.15,1,0,1,15,0.15
"313","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.5,0.5,0.5,150,0,"19b",75,7.5,0.9,1,0,1,75,0.9
"314","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.9,0.94,0.06,10,0,"18b",9,0.75,0.916666666666667,1.04444444444444,0.0434851119397387,0,9.4,0.920212765957447
"315","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.95,0.98,0.02,50,20,"16a",48.5,26.75,0.448453608247423,1.03157894736842,0.0310905870700312,0,49.4,0.458502024291498
"316","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.9,0.93,0.07,50,0,"17b",45,6.25,0.861111111111111,1.03333333333333,0.032789822822991,0,46.5,0.865591397849462
"317","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.05,0.03,0.97,40,10,"19b",11.5,11.5,0,0.6,-0.510825623765991,0,10.9,-0.0550458715596332
"318","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.75,0.83,0.17,40,10,"16b",32.5,15.25,0.530769230769231,1.10666666666667,0.101352494260288,0,34.9,0.563037249283668
"319","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.25,0.15,0.85,50,20,"17b",27.5,23.75,0.136363636363636,0.6,-0.510825623765991,0,24.5,0.0306122448979592
"320","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.25,0.15,0.85,40,10,"17b",17.5,13.75,0.214285714285714,0.6,-0.510825623765991,0,14.5,0.0517241379310345
"321","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.5,0.5,0.5,40,10,"18b",25,12.25,0.51,1,0,1,25,0.51
"322","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.5,0.5,0.5,10,0,"19b",5,0.5,0.9,1,0,1,5,0.9
"323","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.05,0.02,0.98,50,20,"17a",21.5,25.25,-0.174418604651163,0.4,-0.916290731874155,0,20.6,-0.225728155339806
"324","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.9,0.96,0.04,20,10,"10a",19,15.25,0.197368421052632,1.06666666666667,0.0645385211375712,0,19.6,0.221938775510204
"325","jtka33ow",5305316,"bar",5,5.67,25,"Female","Professional school",0.1,0.04,0.96,50,0,"19b",5,2.5,0.5,0.4,-0.916290731874155,0,2,-0.25
"351","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.9,0.9,0.1,50,0,"1b",45,46.25,-0.0277777777777778,1,0,1,45,-0.0277777777777778
"352","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.05,0.05,0.95,40,10,"19b",11.5,11.5,0,1,0,1,11.5,0
"353","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.05,0.05,0.95,20,0,"19b",1,1,0,1,0,1,1,0
"354","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.75,0.75,0.25,40,10,"19b",32.5,11.5,0.646153846153846,1,0,1,32.5,0.646153846153846
"355","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.95,0.95,0.05,50,20,"10a",48.5,35.75,0.262886597938144,1,0,1,48.5,0.262886597938144
"356","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.05,0.05,0.95,50,20,"19b",21.5,21.5,0,1,0,1,21.5,0
"357","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.25,0.25,0.75,40,10,"19b",17.5,11.5,0.342857142857143,1,0,1,17.5,0.342857142857143
"358","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.95,0.95,0.05,20,0,"1a",19,19,0,1,0,1,19,0
"359","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.9,0.9,0.1,10,0,"0b",9,9.75,-0.0833333333333333,1,0,1,9,-0.0833333333333333
"360","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.5,0.5,0.5,150,0,"6b",75,101.25,-0.35,1,0,1,75,-0.35
"361","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.5,0.5,0.5,50,20,"13b",35,29.75,0.15,1,0,1,35,0.15
"362","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.25,0.25,0.75,50,20,"19b",27.5,21.5,0.218181818181818,1,0,1,27.5,0.218181818181818
"363","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.25,0.25,0.75,20,0,"19b",5,1,0.8,1,0,1,5,0.8
"364","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.05,0.05,0.95,150,50,"19b",55,55,0,1,0,1,55,0
"365","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.1,0.1,0.9,50,0,"19b",5,2.5,0.5,1,0,1,5,0.5
"366","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.75,0.75,0.25,50,20,"6a",42.5,41.75,0.0176470588235294,1,0,1,42.5,0.0176470588235294
"367","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.1,0.1,0.9,10,0,"19b",1,0.5,0.5,1,0,1,1,0.5
"368","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.75,0.75,0.25,20,0,"15a",15,5,0.666666666666667,1,0,1,15,0.666666666666667
"369","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.95,0.95,0.05,40,10,"0b",38.5,39.25,-0.0194805194805195,1,0,1,38.5,-0.0194805194805195
"370","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.5,0.5,0.5,10,0,"14a",5,3.25,0.35,1,0,1,5,0.35
"371","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.5,0.5,0.5,40,10,"13b",25,19.75,0.21,1,0,1,25,0.21
"372","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.5,0.5,0.5,20,10,"12b",15,13.75,0.0833333333333333,1,0,1,15,0.0833333333333333
"373","jtk6jksc",503316,"none",0,6.865,26,"Female","Graduate school",0.1,0.1,0.9,20,10,"19b",11,10.5,0.0454545454545455,1,0,1,11,0.0454545454545455
