postId,time_diff_experiment,condition,vis,bonus,age,gender,education,p,prob1,prob2,x1,x2,lotterychoice,ev,ce,rrp,error,lnerror,exact,ev_perceived,rrp_perceived
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.25,0.5,0.5,20.0,0.0,10a,5.0,10,-1.0,2.0,0.6931471805599453,0,10.0,0.0
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.95,0.5,0.5,50.0,20.0,16b,48.5,25.25,0.4793814432989691,0.5263157894736842,-0.6418538861723948,0,35.0,0.2785714285714286
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.75,0.5,0.5,50.0,20.0,11b,42.5,32.75,0.22941176470588234,0.6666666666666666,-0.40546510810816444,0,35.0,0.06428571428571428
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.25,0.5,0.5,50.0,20.0,12b,27.5,31.25,-0.13636363636363635,2.0,0.6931471805599453,0,35.0,0.10714285714285714
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.5,0.5,0.5,40.0,10.0,13b,25.0,19.75,0.21,1.0,0.0,1,25.0,0.21
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.5,0.5,0.5,10.0,0.0,0a,5.0,10,-1.0,1.0,0.0,1,5.0,-1.0
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.95,0.5,0.5,40.0,10.0,10b,38.5,24.25,0.37012987012987014,0.5263157894736842,-0.6418538861723948,0,25.0,0.03
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.5,0.5,0.5,150.0,0.0,6b,75.0,101.25,-0.35,1.0,0.0,1,75.0,-0.35
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.75,0.5,0.5,20.0,0.0,5b,15.0,14,0.06666666666666667,0.6666666666666666,-0.40546510810816444,0,10.0,-0.4
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.05,0.5,0.5,150.0,50.0,13b,55.0,82,-0.4909090909090909,10.0,2.302585092994046,0,100.0,0.18
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.05,0.5,0.5,50.0,20.0,13b,21.5,29.75,-0.38372093023255816,10.0,2.302585092994046,0,35.0,0.15
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.95,0.5,0.5,20.0,0.0,10b,19.0,9,0.5263157894736842,0.5263157894736842,-0.6418538861723948,0,10.0,0.1
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.9,0.5,0.5,50.0,0.0,8b,45.0,28.75,0.3611111111111111,0.5555555555555556,-0.587786664902119,0,25.0,-0.15
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.1,0.5,0.5,20.0,10.0,0b,11.0,19.75,-0.7954545454545454,5.0,1.6094379124341003,0,15.0,-0.31666666666666665
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.75,0.49,0.51,40.0,10.0,7b,32.5,28.75,0.11538461538461539,0.6533333333333333,-0.4256678154256838,0,24.700000000000003,-0.16396761133603224
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.5,0.15,0.85,50.0,20.0,10b,35.0,34.25,0.02142857142857143,0.3,-1.2039728043259361,0,24.5,-0.3979591836734694
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.5,0.6,0.4,50.0,0.0,4b,25.0,38.75,-0.55,1.2,0.1823215567939546,0,30.0,-0.2916666666666667
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.25,0.5,0.5,40.0,10.0,0b,17.5,39.25,-1.2428571428571429,2.0,0.6931471805599453,0,25.0,-0.57
