"","postId","time_diff_experiment","condition","vis","bonus","age","gender","education","p","prob1","prob2","x1","x2","lotterychoice","ev","ce","rrp","error","lnerror","exact","ev_perceived","rrp_perceived","abs_error","abs_rrp"
"183","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.5,0.55,0.45,150,0,"13b",75,48.75,0.35,0.05,0.0953101798043249,0,82.5,0.409090909090909,0.05,0.35
"184","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.9,0.8,0.2,10,0,"6b",9,6.75,0.25,-0.1,-0.117783035656383,0,8,0.15625,0.1,0.25
"185","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.1,0.15,0.85,50,0,"8b",5,28.75,-4.75,0.05,0.405465108108164,0,7.5,-2.83333333333333,0.05,4.75
"186","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.25,0.2,0.8,20,0,"6b",5,13,-1.6,-0.05,-0.22314355131421,0,4,-2.25,0.05,1.6
"187","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.75,0.6,0.4,50,20,"10b",42.5,34.25,0.194117647058824,-0.15,-0.22314355131421,0,38,0.0986842105263158,0.15,0.194117647058824
"188","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.1,0.2,0.8,10,0,"3b",1,8.25,-7.25,0.1,0.693147180559945,0,2,-3.125,0.1,7.25
"189","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.5,0.55,0.45,10,0,"7a",5,6.75,-0.35,0.05,0.0953101798043249,0,5.5,-0.227272727272727,0.05,0.35
"190","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.75,0.7,0.3,40,10,"10b",32.5,24.25,0.253846153846154,-0.05,-0.0689928714869516,0,31,0.217741935483871,0.05,0.253846153846154
"191","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.05,0.15,0.85,50,20,"11b",21.5,32.75,-0.523255813953488,0.1,1.09861228866811,0,24.5,-0.336734693877551,0.1,0.523255813953488
"192","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.95,0.8,0.2,50,20,"7b",48.5,38.75,0.201030927835052,-0.15,-0.171850256926659,0,44,0.119318181818182,0.15,0.201030927835052
"193","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.05,0.2,0.8,20,0,"5b",1,14,-13,0.15,1.38629436111989,0,4,-2.5,0.15,13
"194","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.5,0.65,0.35,50,20,"10b",35,34.25,0.0214285714285714,0.15,0.262364264467491,0,39.5,0.132911392405063,0.15,0.0214285714285714
"195","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.1,0.25,0.75,20,10,"6b",11,16.75,-0.522727272727273,0.15,0.916290731874155,0,12.5,-0.34,0.15,0.522727272727273
"196","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.25,0.35,0.65,40,10,"10b",17.5,24.25,-0.385714285714286,0.1,0.336472236621213,0,20.5,-0.182926829268293,0.1,0.385714285714286
"197","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.95,0.85,0.15,40,10,"8b",38.5,27.25,0.292207792207792,-0.1,-0.111225635110224,0,35.5,0.232394366197183,0.1,0.292207792207792
"198","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.05,0.2,0.8,40,10,"6b",11.5,30.25,-1.6304347826087,0.15,1.38629436111989,0,16,-0.890625,0.15,1.6304347826087
"199","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.5,0.55,0.45,50,0,"8b",25,28.75,-0.15,0.05,0.0953101798043249,0,27.5,-0.0454545454545453,0.05,0.15
"200","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.9,0.8,0.2,20,10,"7b",19,16.25,0.144736842105263,-0.1,-0.117783035656383,0,18,0.0972222222222222,0.1,0.144736842105263
"201","jtkb6vci",2938401,"pie",2,7.12,46,"Female","High school",0.1,0.1,0.9,50,0,"16b",5,8.75,-0.75,0,0,1,5,-0.75,0,0.75
"202","jtkb6vci",2938401,"pie",2,7.12,46,"Female","High school",0.05,0.05,0.95,20,0,"15b",1,4,-3,0,0,1,1,-3,0,3
"203","jtkb6vci",2938401,"pie",2,7.12,46,"Female","High school",0.25,0.25,0.75,20,0,"12b",5,7,-0.4,0,0,1,5,-0.4,0,0.4
"204","jtkb6vci",2938401,"pie",2,7.12,46,"Female","High school",0.9,0.9,0.1,10,0,"4b",9,7.75,0.138888888888889,0,0,1,9,0.138888888888889,0,0.138888888888889
"205","jtkb6vci",2938401,"pie",2,7.12,46,"Female","High school",0.5,0.5,0.5,150,0,"12b",75,56.25,0.25,0,0,1,75,0.25,0,0.25
"206","jtkb6vci",2938401,"pie",2,7.12,46,"Female","High school",0.95,0.95,0.05,50,20,"13b",48.5,29.75,0.38659793814433,0,0,1,48.5,0.38659793814433,0,0.38659793814433
"207","jtkb6vci",2938401,"pie",2,7.12,46,"Female","High school",0.75,0.75,0.25,40,10,"14b",32.5,18.25,0.438461538461538,0,0,1,32.5,0.438461538461538,0,0.438461538461538
"208","jtkb6vci",2938401,"pie",2,7.12,46,"Female","High school",0.9,0.9,0.1,50,0,"8b",45,28.75,0.361111111111111,0,0,1,45,0.361111111111111,0,0.361111111111111
"209","jtkb6vci",2938401,"pie",2,7.12,46,"Female","High school",0.25,0.25,0.75,50,20,"10b",27.5,34.25,-0.245454545454545,0,0,1,27.5,-0.245454545454545,0,0.245454545454545
"210","jtkb6vci",2938401,"pie",2,7.12,46,"Female","High school",0.5,0.5,0.5,40,10,"14b",25,18.25,0.27,0,0,1,25,0.27,0,0.27
